title,summary,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,course_hours,price
While a highly-developed cortex is one of the key hallmarks of humanity, there's quite a bit more to the brain than cortex. In lesson 5,"36,195",Self-paced on your time,IBM,Joseph Santarcangelo,Intermediate,Data Analysis & Statistics,English,English,24,7870.5
In the last lesson of this course, �Brain Anatomy,"36,663",Self-paced on your time,Universitat Politècnica de Valencia,Miguel Ferrando Bataller-Ignacio Despujol-Linda Castañeda Quintero,Introductory,Computer Science,Español,Español,30,3975
Sikhism Through Its Scriptures,This course examines the Sikh scripture from a doctrinal and historical perspective by providing an overview of Sikh teachings as well as the historical context within which the scripture evolved and became canonized.,"81,839",Self-paced on your time,University of Adelaide,Kerry Wilkinson-Cassandra Collins-David Jeffery-Paul Grbin,Introductory,Science,English,English,18,15820.5
Upper-Intermediate English: Business and Modern Life,"Advance your English languageskillsas you learn how to rephrase sentences andprepare for an interview. Topics such as films, sports, and natural resources will also be discussed.","16,619",Self-paced on your time,SDG Academy,Aromar Revi-Joshua Castellino-Jeffrey D. Sachs-Susan Parnell,Intermediate,Environmental Studies,English,"English, हिन्दी",54,3895.5
Introduction to Probability,"Learn probability, an essential language and set of tools for understanding data, randomness, and uncertainty.","38,060",Self-paced on your time,The University of Queensland,Blake McKimmie-Virginia Slaughter-Mark Nielsen-Nicole Nelson,Introductory,Humanities,English,English,16,7870.5
Religious Literacy: Traditions and Scriptures,Learn how to better understand the rich and complex ways that religions function in historic and contemporary contexts.,"69,413",Self-paced on your time,Berklee College of Music,Panos Panay,Introductory,Business & Management,English,English,20,3895.5
Programaci�n para todos (empezando con Python),"Este curso en l�nea es una introducci�n ""sin prerrequisitos"" a la programaci�n en Python. Aprender�s sobre las variables, la ejecuci�n condicional, la ejecuci�n repetida y c�mo usamos las funciones.","1,03,010",Self-paced on your time,Arizona State University,Adrian Sannier-Sue McClure,Introductory,Math,English,English,135,3895.5
Analyzing and Visualizing Data with Power BI,Step up your analytics game and learn one of the most in-demand job skills in the United States.,"16,220",Self-paced on your time,Wits University,Peter Alkema-Nomusa Mazonde-Terri Carmichael,Introductory,Education & Teacher Training,English,English,6,3895.5
High-Dimensional Data Analysis,A focus on several techniques that are widely used in the analysis of high-dimensional data.,"13,853",Self-paced on your time,The International Monetary Fund,Ralph Chami-Sami Ben Naceur-Dyna Heng-Dmitriy Rozhkov,Intermediate,Economics & Finance,English,English,70,1987.5
Introduction To Music Theory,"Learn key concepts and approaches needed to understand, create, and perform contemporary music.","17,273",Self-paced on your time,SDG Academy,K. Srinath Reddy-Richard Cash-Vinod Paul-Rob Yates,Intermediate,Health & Safety,English,English,60,3895.5
Human Anatomy,The first MOOC to teach Human Anatomy from multiple healthcare professional perspectives through a case-based study of stroke.,"69,182",Self-paced on your time,The University of Texas at Austin,Jonathan Valvano-Ramesh Yerraballi,Intermediate,Computer Science,English,English,80,3895.5
A real-life severe stroke case is adopted in this MOOC to articulate the application of Human Anatomy knowledge. This case scenario is presented by using a micro movie together with an interactive case summary and interview to arouse learners� interest.Module-based design:,,"42,135",Self-paced on your time,Wageningen University & Research,Marc Naguib-James Savage-Lysanne Snijders,Introductory,Biology & Life Sciences,English,English,36,3895.5
In addition to the presentation of a stroke case scenario in Module ONE, two more modules are included. In Module TWO,"50,240",Self-paced on your time,Delft University of Technology,Ken Webster-Conny Bakker-David Peck-Ester van der Voet,Introductory,Business & Management,English,English,42,3975
"CitiesX: The Past, Present and Future of Urban Life","Explore what makes cities energizing, amazing, challenging, and perhaps humanity�s greatest invention.","23,288",Self-paced on your time,The International Monetary Fund,Staff of the Fiscal Affairs Department,Intermediate,Economics & Finance,English,English,48,1987.5
The Path to Happiness: What Chinese Philosophy Teaches us about the Good Life,"Why should we care about Confucius? Explore ancient Chinese philosophy, ethics, and political theory to challenge your assumptions of what it means to be happy, live a meaningful life, and change the world.","49,319",Self-paced on your time,The University of Michigan,Kelli A. Sullivan,Introductory,Biology & Life Sciences,English,English,32,3895.5
Entrepreneurship 101: Who is your customer?,Entrepreneurship can be learned. Begin your journey by learning the first important skill for aspiring entrepreneurs.,"85,786",Self-paced on your time,Universitat Politècnica de Valencia,Jesús Tomás Gironés,Introductory,Computer Science,Español,Español,50,3975
"U.S. Public Policy: Social, Economic, and Foreign Policies",Learn about public policy in America and the dynamics of American politics.,"51,744",Instructor-led on a course schedule,Harvard University,Gregory Nagy-Leonard Muellner-Kevin McGrath-Keith DeStone,Introductory,Humanities,English,English,216,7870.5
This session will concentrate on the intersection of religion and politics, historically and currently. We will explain how issues such as abortion and same-sex marriage have played out in ways that have aligned religious conservatives with the Republican Party and religious liberals and seculars with the Democratic Party. Week 2: Fiscal & Monetary Policy ,"31,838",Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",John Johnson,Advanced,Engineering,English,English,12,15820.5
This session examines fiscal policy and monetary policy�what they are, what tools they involve,"98,113",Self-paced on your time,University of British Columbia,Gregor Kiczales,Introductory,Computer Science,English,English,21,9937.5
This session will describe and explain these developments, relating them to both the nature of the U.S. economy and the nature of U.S. policy. The structure and politics of the U.S. welfare system and the U.S. tax system will be points of emphasis. Week 4: Regulatory Policy ,"21,440",Self-paced on your time,Curtin University,Iain Murray AM-Nazanin Mohammadi-Eleanor Sandry,Introductory,Computer Science,English,English,30,15820.5
While emphasizing policy, the session will also address partisan divisions over regulatory policy,"71,085",Self-paced on your time,Indian Institute of Management Bangalore,P D Jose-Rejie George Pallathita-Sai Yayavaram,Introductory,Business & Management,English,"English, हिन्दी",25,11925
This session will trace the evolution of America�s position as a trading nation during the post-World War II era, concentrating first on the factors that made America in the immediate post-war period the world�s unquestioned economic power and then on the factors that weakened that position. The session will conclude with an examination of the politics and policies of trade agreements,"7,303",Self-paced on your time,IBM,Alex Aklson,Introductory,Data Analysis & Statistics,Español,Español,36,3100.5
This session will serve as an overview of the course, concentrating on major tendencies within the American system,"18,692",Instructor-led on a course schedule,Massachusetts Institute of Technology,Michael Yaffe-Mary Ellen Wiltrout-Darcy Gordon-Monika Avello,Intermediate,Biology & Life Sciences,English,English,72,11925
Machine Learning with Python: from Linear Models to Deep Learning,"An in-depth introduction to the field of machine learning, from linear models to deep learning and reinforcement learning, through hands-on Python projects. -- Part of the MITx MicroMasters program in Statistics and Data Science.","10,500",Self-paced on your time,Universidad Nacional de Córdoba,Guillermo Goldes,Introductory,Science,Español,"English, Español",49,2305.5
Introduction to Data Science,Learn about the world of data science first-hand from real data scientists.,"27,144",Self-paced on your time,Wageningen University & Research,Ellen Kampman-Fränzel van Duijnhoven-Dieuwertje Kok,Intermediate,Food & Nutrition,English,English,40,7870.5
Circuits and Electronics 1: Basic Circuit Analysis,"Learn techniques that are foundational to the design of microchips used in smartphones, self-driving cars, computers, and the Internet.","31,570",Instructor-led on a course schedule,Curtin University,Dr David A. McMeekin-Tristan W. Reed,Introductory,Computer Science,English,English,80,11845.5
Introduction to Investments,NA,"93,633",Self-paced on your time,IITBombay,Deepak B. Phatak-Supratik Chakraborty-Nagesh Karmali-Firuza Karmali (Aibara),Introductory,Computer Science,English,English,32,11845.5
Improving Your Business Through a Culture of Health,"Learn how a Culture of Health can transform your business to improve the well-being of your employees and company, while increasing revenue.","7,233",Self-paced on your time,The Linux Foundation,Deepika Gautam,Introductory,Computer Science,English,English,30,15820.5
Introduction to Linear Models and Matrix Algebra,Learn to use R programming to apply linear models to analyze data in life sciences.,"15,594",Self-paced on your time,University of Washington,Joel Ozretich-Richard Moore,Introductory,Language,English,English,40,7870.5
DO Your Venture: Entrepreneurship For Everyone,This course is part of a MicroMasters� Program,"21,419",Self-paced on your time,Tecnológico de Monterrey,Elliott Kruse,Introductory,Business & Management,Español,Español,32,11845.5
El valor de la creatividad y la innovaci�n: La Econom�a Naranja,"El primer curso en abordar la importancia de la creatividad, la innovaci�n y la cultura como herramientas fundamentales para impulsar el desarrollo econ�mico en Am�rica Latina.","18,660",Instructor-led on a course schedule,New York University,Kevin Siwoff,Introductory,Design,English,English,140,19795.5
